,word,probneg,probpos,freq
0,martha,0.38461538461538464,0.6153846153846154,208
1,maggie,0.345679012345679,0.654320987654321,162
2,connecticut,0.1388888888888889,0.8611111111111112,72
3,backyard,0.7058823529411765,0.29411764705882354,68
4,years,0.3870967741935484,0.6129032258064516,8804
5,detective,0.38964241676942046,0.6103575832305795,811
6,disgrace,0.8067226890756303,0.19327731092436976,119
7,simpson,0.7054263565891473,0.29457364341085274,129
8,trial,0.3832752613240418,0.6167247386759582,287
9,moved,0.33746130030959753,0.6625386996904025,646
10,andrew,0.388646288209607,0.611353711790393,229
11,purpose,0.6270207852193995,0.3729792147806005,866
12,writing,0.6088693567718737,0.39113064322812624,2503
13,welcome,0.3978779840848806,0.6021220159151194,377
14,support,0.39470198675496687,0.6052980132450331,755
15,retired,0.34375,0.65625,160
16,carroll,0.3442622950819672,0.6557377049180327,61
17,robert,0.397979797979798,0.602020202020202,1980
18,money,0.6923777019340159,0.30762229806598407,4395
19,cover,0.6624149659863946,0.33758503401360546,1176
20,true,0.3682440008970621,0.6317559991029379,4459
21,fifteen,0.6284584980237155,0.3715415019762846,253
22,mother,0.397911051212938,0.602088948787062,2968
23,kennedy,0.36996336996337,0.63003663003663,273
24,powerful,0.2229454841334418,0.7770545158665582,1229
25,family,0.37197811893418037,0.6280218810658197,5667
26,influence,0.35609756097560974,0.6439024390243903,410
27,convicted,0.3949579831932773,0.6050420168067226,119
28,hideous,0.7634408602150538,0.23655913978494625,186
29,crime,0.3963538149898717,0.6036461850101283,1481
30,shows,0.3819074907900123,0.6180925092099877,4886
31,parallel,0.37623762376237624,0.6237623762376238,202
32,lack,0.6405508072174739,0.35944919278252613,2106
33,brazil,0.285140562248996,0.714859437751004,249
34,available,0.3204225352112676,0.6795774647887324,852
35,ok,0.7202323330106486,0.2797676669893514,2066
36,easy,0.37015873015873013,0.6298412698412699,1575
37,low,0.6600168586681652,0.33998314133183477,3559
38,effortlessly,0.3048780487804878,0.6951219512195121,82
39,holy,0.6009174311926605,0.39908256880733944,218
40,bad,0.7968793074929702,0.20312069250702983,18137
41,kudos,0.2886178861788618,0.7113821138211383,246
42,trying,0.6074785451573355,0.3925214548426645,4894
43,goofy,0.6482558139534884,0.35174418604651164,344
44,confusing,0.6752368064952639,0.32476319350473615,739
45,none,0.6707755521314843,0.3292244478685157,1947
46,didnt,0.617683827707694,0.38231617229230597,8799
47,either,0.6369977678571429,0.36300223214285715,3584
48,motions,0.8297872340425532,0.1702127659574468,94
49,hoping,0.7091836734693877,0.29081632653061223,784
50,someone,0.627330604820373,0.3726693951796271,4398
51,dont,0.6044294427666252,0.3955705572333748,16887
52,care,0.6117040853882959,0.3882959146117041,2717
53,love,0.3313627878033603,0.6686372121966397,12856
54,project,0.6481854838709677,0.35181451612903225,992
55,nonsense,0.7432188065099458,0.25678119349005424,553
56,budget,0.6470742587247441,0.35292574127525583,3811
57,plot,0.6321901792673421,0.36780982073265783,12830
